21: 0 4 1 2 5 6 3
15: 0 4 1 2 6 3 5
18: 0 4 1 2 6 5 3
12: 0 4 1 3 2 5 6
21: 0 4 1 3 2 6 5
15: 0 4 1 3 5 2 6
18: 0 4 1 3 5 6 2
18: 0 4 1 3 6 2 5
15: 0 4 1 3 6 5 2
15: 0 4 1 5 2 3 6
24: 0 4 1 5 2 6 3
18: 0 4 1 5 3 2 6
21: 0 4 1 5 3 6 2
21: 0 4 1 5 6 2 3
18: 0 4 1 5 6 3 2
18: 0 4 1 6 2 3 5
21: 0 4 1 6 2 5 3
21: 0 4 1 6 3 2 5
18: 0 4 1 6 3 5 2
24: 0 4 1 6 5 2 3
21: 0 4 1 6 5 3 2
12: 0 4 2 1 3 5 6
15: 0 4 2 1 3 6 5
9: 0 4 2 1 5 3 6
18: 0 4 2 1 5 6 3
12: 0 4 2 1 6 3 5
15: 0 4 2 1 6 5 3
15: 0 4 2 3 1 5 6
18: 0 4 2 3 1 6 5
12: 0 4 2 3 5 1 6
21: 0 4 2 3 5 6 1
15: 0 4 2 3 6 1 5
18: 0 4 2 3 6 5 1
18: 0 4 2 5 1 3 6
21: 0 4 2 5 1 6 3
15: 0 4 2 5 3 1 6
24: 0 4 2 5 3 6 1
18: 0 4 2 5 6 1 3
21: 0 4 2 5 6 3 1
21: 0 4 2 6 1 3 5
24: 0 4 2 6 1 5 3
18: 0 4 2 6 3 1 5
27: 0 4 2 6 3 5 1
21: 0 4 2 6 5 1 3
24: 0 4 2 6 5 3 1
9: 0 4 3 1 2 5 6
18: 0 4 3 1 2 6 5
12: 0 4 3 1 5 2 6
15: 0 4 3 1 5 6 2
15: 0 4 3 1 6 2 5
12: 0 4 3 1 6 5 2
18: 0 4 3 2 1 5 6
21: 0 4 3 2 1 6 5
15: 0 4 3 2 5 1 6
24: 0 4 3 2 5 6 1
18: 0 4 3 2 6 1 5
21: 0 4 3 2 6 5 1
15: 0 4 3 5 1 2 6
18: 0 4 3 5 1 6 2
12: 0 4 3 5 2 1 6
21: 0 4 3 5 2 6 1
15: 0 4 3 5 6 1 2
18: 0 4 3 5 6 2 1
24: 0 4 3 6 1 2 5
21: 0 4 3 6 1 5 2
21: 0 4 3 6 2 1 5
24: 0 4 3 6 2 5 1
18: 0 4 3 6 5 1 2
27: 0 4 3 6 5 2 1
12: 0 4 5 1 2 3 6
21: 0 4 5 1 2 6 3
15: 0 4 5 1 3 2 6
18: 0 4 5 1 3 6 2
18: 0 4 5 1 6 2 3
15: 0 4 5 1 6 3 2
15: 0 4 5 2 1 3 6
24: 0 4 5 2 1 6 3
18: 0 4 5 2 3 1 6
21: 0 4 5 2 3 6 1
21: 0 4 5 2 6 1 3
18: 0 4 5 2 6 3 1
18: 0 4 5 3 1 2 6
21: 0 4 5 3 1 6 2
15: 0 4 5 3 2 1 6
24: 0 4 5 3 2 6 1
18: 0 4 5 3 6 1 2
21: 0 4 5 3 6 2 1
27: 0 4 5 6 1 2 3
24: 0 4 5 6 1 3 2
24: 0 4 5 6 2 1 3
27: 0 4 5 6 2 3 1
21: 0 4 5 6 3 1 2
24: 0 4 5 6 3 2 1
15: 0 4 6 1 2 3 5
18: 0 4 6 1 2 5 3
18: 0 4 6 1 3 2 5
15: 0 4 6 1 3 5 2
21: 0 4 6 1 5 2 3
18: 0 4 6 1 5 3 2
18: 0 4 6 2 1 3 5
21: 0 4 6 2 1 5 3
21: 0 4 6 2 3 1 5
24: 0 4 6 2 3 5 1
24: 0 4 6 2 5 1 3
21: 0 4 6 2 5 3 1
21: 0 4 6 3 1 2 5
18: 0 4 6 3 1 5 2
18: 0 4 6 3 2 1 5
21: 0 4 6 3 2 5 1
21: 0 4 6 3 5 1 2
24: 0 4 6 3 5 2 1
24: 0 4 6 5 1 2 3
